"Date","USD (PM)"
1988-02-29,426.15
1988-03-31,456.95
1988-04-30,449
1988-05-31,455.5
1988-06-30,436.55
1988-07-31,436.8
1988-08-31,427.75
1988-09-30,396.7
1988-10-31,412.4
1988-11-30,422.6
1988-12-31,410.25
1989-01-31,394
1989-02-28,387
1989-03-31,383.2
1989-04-30,377.55
1989-05-31,361.8
1989-06-30,373
1989-07-31,368.3
1989-08-31,359.8
1989-09-30,366.5
1989-10-31,375.3
1989-11-30,408.15
1989-12-31,398.6
1990-01-31,415.05
1990-02-28,407.7
1990-03-31,368.5
1990-04-30,367.75
1990-05-31,363.05
1990-06-30,352.2
1990-07-31,372.3
1990-08-31,387.75
1990-09-30,408.4
1990-10-31,379.5
1990-11-30,384.85
1990-12-31,386.2
1991-01-31,366
1991-02-28,362.7
1991-03-31,355.65
1991-04-30,357.75
1991-05-31,360.4
1991-06-30,368.35
1991-07-31,362.85
1991-08-31,347.4
1991-09-30,354.9
1991-10-31,357.45
1991-11-30,366.3
1991-12-31,353.15
1992-01-31,354.1
1992-02-29,353.1
1992-03-31,341.7
1992-04-30,336.35
1992-05-31,337.5
1992-06-30,343.4
1992-07-31,357.85
1992-08-31,340
1992-09-30,349
1992-10-31,339.25
1992-11-30,334.2
1992-12-31,332.9
1993-01-31,330.45
1993-02-28,327.6
1993-03-31,337.8
1993-04-30,354.3
1993-05-31,377.45
1993-06-30,378.45
1993-07-31,401.75
1993-08-31,371.55
1993-09-30,355.5
1993-10-31,369.6
1993-11-30,370.9
1993-12-31,391.75
1994-01-31,377.9
1994-02-28,381.55
1994-03-31,389.2
1994-04-30,376.45
1994-05-31,387.6
1994-06-30,388.25
1994-07-31,384
1994-08-31,385.75
1994-09-30,394.85
1994-10-31,383.85
1994-11-30,383.1
1994-12-31,383.25
1995-01-31,374.9
1995-02-28,376.4
1995-03-31,392
1995-04-30,389.75
1995-05-31,384.3
1995-06-30,387.05
1995-07-31,383.35
1995-08-31,382.35
1995-09-30,384
1995-10-31,382.65
1995-11-30,387.8
1995-12-31,387
1996-01-31,405.55
1996-02-29,400.65
1996-03-31,396.35
1996-04-30,391.3
1996-05-31,390.55
1996-06-30,382
1996-07-31,385.3
1996-08-31,386.45
1996-09-30,379
1996-10-31,379.5
1996-11-30,371.3
1996-12-31,369.25
1997-01-31,345.5
1997-02-28,358.6
1997-03-31,348.15
1997-04-30,340.15
1997-05-31,345.6
1997-06-30,334.55
1997-07-31,326.35
1997-08-31,325.35
1997-09-30,332.1
1997-10-31,311.4
1997-11-30,296.8
1997-12-31,290.2
1998-01-31,304.85
1998-02-28,297.4
1998-03-31,301
1998-04-30,310.7
1998-05-31,293.6
1998-06-30,296.3
1998-07-31,288.85
1998-08-31,273.4
1998-09-30,293.85
1998-10-31,292.3
1998-11-30,294.7
1998-12-31,287.8
1999-01-31,285.4
1999-02-28,287.05
1999-03-31,279.45
1999-04-30,286.6
1999-05-31,268.6
1999-06-30,261
1999-07-31,255.6
1999-08-31,254.8
1999-09-30,299
1999-10-31,299.1
1999-11-30,291.35
1999-12-31,290.25
2000-01-31,283.3
2000-02-29,293.65
2000-03-31,276.75
2000-04-30,275.05
2000-05-31,272.25
2000-06-30,288.15
2000-07-31,276.75
2000-08-31,277
2000-09-30,273.65
2000-10-31,264.5
2000-11-30,269.1
2000-12-31,274.45
2001-01-31,264.5
2001-02-28,266.7
2001-03-31,257.7
2001-04-30,263.15
2001-05-31,267.5
2001-06-30,270.6
2001-07-31,265.9
2001-08-31,273
2001-09-30,293.1
2001-10-31,278.75
2001-11-30,275.5
2001-12-31,276.5
2002-01-31,282.3
2002-02-28,296.85
2002-03-31,301.4
2002-04-30,308.2
2002-05-31,326.6
2002-06-30,318.5
2002-07-31,304.65
2002-08-31,312.8
2002-09-30,323.7
2002-10-31,316.9
2002-11-30,319.05
2002-12-31,347.2
2003-01-31,367.5
2003-02-28,347.45
2003-03-31,334.85
2003-04-30,336.75
2003-05-31,361.4
2003-06-30,346
2003-07-31,354.75
2003-08-31,375.6
2003-09-30,388
2003-10-31,386.25
2003-11-30,398.35
2003-12-31,416.25
2004-01-31,399.75
2004-02-29,395.85
2004-03-31,423.7
2004-04-30,388.5
2004-05-31,393.25
2004-06-30,395.8
2004-07-31,391.4
2004-08-31,407.25
2004-09-30,415.65
2004-10-31,425.55
2004-11-30,453.4
2004-12-31,435.6
2005-01-31,422.15
2005-02-28,435.45
2005-03-31,427.5
2005-04-30,435.7
2005-05-31,414.45
2005-06-30,437.1
2005-07-31,429
2005-08-31,433.25
2005-09-30,473.25
2005-10-31,470.75
2005-11-30,495.65
2005-12-31,513
2006-01-31,568.75
2006-02-28,556
2006-03-31,582
2006-04-30,644
2006-05-31,653
2006-06-30,613.5
2006-07-31,632.5
2006-08-31,623.5
2006-09-30,599.25
2006-10-31,603.75
2006-11-30,646.7
2006-12-31,632
2007-01-31,650.5
2007-02-28,664.2
2007-03-31,661.75
2007-04-30,677
2007-05-31,659.1
2007-06-30,650.5
2007-07-31,665.5
2007-08-31,672
2007-09-30,743
2007-10-31,789.5
2007-11-30,783.5
2007-12-31,833.75
2008-01-31,923.25
2008-02-29,971.5
2008-03-31,933.5
2008-04-30,871
2008-05-31,885.75
2008-06-30,930.25
2008-07-31,918
2008-08-31,833
2008-09-30,884.5
2008-10-31,730.75
2008-11-30,814.5
2008-12-31,869.75
2009-01-31,919.5
2009-02-28,952
2009-03-31,916.5
2009-04-30,883.25
2009-05-31,975.5
2009-06-30,934.5
2009-07-31,939
2009-08-31,955.5
2009-09-30,995.75
2009-10-31,1040
2009-11-30,1175.75
2009-12-31,1087.5
2010-01-31,1078.5
2010-02-28,1108.25
2010-03-31,1115.5
2010-04-30,1179.25
2010-05-31,1207.5
2010-06-30,1244
2010-07-31,1169
2010-08-31,1246
2010-09-30,1307
2010-10-31,1346.75
2010-11-30,1383.5
2010-12-31,1405.5
2011-01-31,1327
2011-02-28,1411
2011-03-31,1439
2011-04-30,1535.5
2011-05-31,1536.5
2011-06-30,1505.5
2011-07-31,1628.5
2011-08-31,1813.5
2011-09-30,1620
2011-10-31,1722
2011-11-30,1746
2011-12-31,1531
2012-01-31,1744
2012-02-29,1770
2012-03-31,1662.5
2012-04-30,1651.25
2012-05-31,1558
2012-06-30,1598.5
2012-07-31,1622
2012-08-31,1648.5
2012-09-30,1776
2012-10-31,1719
2012-11-30,1726
2012-12-31,1657.5
2013-01-31,1664.75
2013-02-28,1588.5
2013-03-31,1598.25
2013-04-30,1469
2013-05-31,1394.5
2013-06-30,1192
2013-07-31,1314.5
2013-08-31,1394.75
2013-09-30,1326.5
2013-10-31,1324
2013-11-30,1253
2013-12-31,1204.5
2014-01-31,1251
2014-02-28,1326.5
2014-03-31,1291.75
2014-04-30,1288.5
2014-05-31,1250.5
2014-06-30,1315
2014-07-31,1285.25
2014-08-31,1285.75
2014-09-30,1216.5
2014-10-31,1164.25
2014-11-30,1182.75
2014-12-31,1206
2015-01-31,1260.25
2015-02-28,1214
2015-03-31,1187
2015-04-30,1180.25
2015-05-31,1191.4
2015-06-30,1171
2015-07-31,1098.4
2015-08-31,1135
2015-09-30,1114
2015-10-31,1142.35
2015-11-30,1061.9
2015-12-31,1060
2016-01-31,1111.8
2016-02-29,1234.9
2016-03-31,1237
2016-04-30,1285.65
2016-05-31,1265.9
